Arizona Diamondbacks,"Castillo, JoseJose Castillo",P,5,0,19,2,2,1,1,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"DeSclafani, AnthonyAnthony DeSclafani",P,2,0,13,3,3,0,3,0,1,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Diaz, YilberYilber Diaz",P,1,0,9,1,1,1,0,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Feyereisen, J.P.J.P. Feyereisen",P,2,0,6,0,0,0,0,0,0,n/a,n/a,n/a,.000
Arizona Diamondbacks,"Gallen, ZacZac Gallen",P,16,16,275,13,13,9,4,0,1,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Garcia, AramisAramis Garcia",C,1,0,3,0,0,0,0,0,0,0,0,0,.000
Arizona Diamondbacks,"Ginkel, KevinKevin Ginkel",P,16,0,39,2,2,1,1,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Graveman, KendallKendall Graveman",P,9,0,25,1,1,0,1,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Grichuk, RandalRandal Grichuk",CF,1,0,3,0,0,0,0,0,0,n/a,n/a,n/a,.000
Arizona Diamondbacks,"Grichuk, RandalRandal Grichuk",RF,7,7,165,10,10,10,0,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Grichuk, RandalRandal Grichuk",LF,1,1,27,3,3,3,0,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Gurriel Jr., LourdesLourdes Gurriel Jr.",LF,70,68,"1,795",129,127,125,2,2,0,n/a,n/a,n/a,.984
Arizona Diamondbacks,"Hampson, GarrettGarrett Hampson",CF,2,2,42,4,4,4,0,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Hampson, GarrettGarrett Hampson",2B,10,9,222,50,50,18,32,0,5,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Hampson, GarrettGarrett Hampson",SS,2,1,21,6,6,3,3,0,1,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Hampson, GarrettGarrett Hampson",3B,1,1,27,4,4,1,3,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Hampson, GarrettGarrett Hampson",LF,1,0,3,1,1,1,0,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Henry, TommyTommy Henry",P,2,0,20,4,4,0,4,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Herrera, JoseJose Herrera",P,1,0,3,0,0,0,0,0,0,n/a,n/a,n/a,.000
Arizona Diamondbacks,"Herrera, JoseJose Herrera",C,31,30,784,281,279,269,10,2,2,1,15,6,.993
Arizona Diamondbacks,"Jameson, DreyDrey Jameson",P,3,0,9,1,1,0,1,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Jarvis, BryceBryce Jarvis",P,7,0,31,2,2,1,1,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Kelly, MerrillMerrill Kelly",P,15,15,261,19,19,7,12,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Lawlar, JordanJordan Lawlar",2B,5,4,111,23,21,9,12,2,2,n/a,n/a,n/a,.913
Arizona Diamondbacks,"Lawlar, JordanJordan Lawlar",SS,1,1,24,3,2,0,2,1,0,n/a,n/a,n/a,.667
Arizona Diamondbacks,"Lawlar, JordanJordan Lawlar",3B,1,1,21,4,4,1,3,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Mantiply, JoeJoe Mantiply",P,10,0,29,3,3,1,2,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Marte, KetelKetel Marte",2B,43,39,"1,032",173,171,64,107,2,26,n/a,n/a,n/a,.988
Arizona Diamondbacks,"Marte, KetelKetel Marte",DH,1,1,0,0,0,0,0,0,0,-,-,-,.000
Arizona Diamondbacks,"Martinez, JustinJustin Martinez",P,17,0,46,4,3,1,2,1,0,n/a,n/a,n/a,.750
Arizona Diamondbacks,"McCarthy, JakeJake McCarthy",CF,9,8,210,17,17,17,0,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"McCarthy, JakeJake McCarthy",LF,5,3,81,9,9,9,0,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"McGough, ScottScott McGough",P,7,0,21,0,0,0,0,0,0,n/a,n/a,n/a,.000
Arizona Diamondbacks,"Mena, CristianCristian Mena",P,3,0,20,1,1,0,1,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Miller, ShelbyShelby Miller",P,31,0,90,4,3,1,2,1,0,n/a,n/a,n/a,.750
Arizona Diamondbacks,"Montes De Oca, ChristianChristian Montes De Oca",P,1,0,8,1,1,1,0,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Moreno, GabrielGabriel Moreno",C,52,45,"1,218",385,384,365,19,1,2,2,29,8,.997
Arizona Diamondbacks,"Morillo, JuanJuan Morillo",P,23,0,62,1,1,0,1,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Naylor, JoshJosh Naylor",1B,56,54,"1,446",455,452,418,34,3,37,n/a,n/a,n/a,.993
Arizona Diamondbacks,"Naylor, JoshJosh Naylor",DH,2,2,0,0,0,0,0,0,0,-,-,-,.000
Arizona Diamondbacks,"Nelson, RyneRyne Nelson",P,16,6,167,12,12,2,10,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Perdomo, GeraldoGeraldo Perdomo",SS,74,73,"1,948",267,264,101,163,3,38,n/a,n/a,n/a,.989
Arizona Diamondbacks,"Pfaadt, BrandonBrandon Pfaadt",P,15,15,226,14,12,5,7,2,0,n/a,n/a,n/a,.857
Arizona Diamondbacks,"Puk, A.J.A.J. Puk",P,8,0,24,1,1,0,1,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Rodriguez, EduardoEduardo Rodriguez",P,12,12,182,3,3,0,3,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Scott, TaylerTayler Scott",P,3,0,12,0,0,0,0,0,0,n/a,n/a,n/a,.000
Arizona Diamondbacks,"Smith, PavinPavin Smith",1B,21,20,502,148,147,131,16,1,11,n/a,n/a,n/a,.993
Arizona Diamondbacks,"Suárez, EugenioEugenio Suárez",3B,75,73,"1,951",188,179,50,129,9,9,n/a,n/a,n/a,.952
Arizona Diamondbacks,"Tawa, TimTim Tawa",1B,6,1,57,22,22,20,2,0,3,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Tawa, TimTim Tawa",CF,13,9,236,24,24,24,0,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Tawa, TimTim Tawa",2B,23,20,558,79,76,27,49,3,14,n/a,n/a,n/a,.962
Arizona Diamondbacks,"Tawa, TimTim Tawa",3B,1,0,3,0,0,0,0,0,0,n/a,n/a,n/a,.000
Arizona Diamondbacks,"Tawa, TimTim Tawa",RF,2,0,4,1,1,1,0,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Tawa, TimTim Tawa",LF,7,2,66,1,1,1,0,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Thomas, AlekAlek Thomas",CF,64,53,"1,439",133,132,130,2,1,0,n/a,n/a,n/a,.992
Arizona Diamondbacks,"Thompson, RyanRyan Thompson",P,31,0,84,6,6,2,4,0,2,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Vargas, IldemaroIldemaro Vargas",2B,3,3,82,6,6,2,4,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Vargas, IldemaroIldemaro Vargas",SS,1,0,12,0,0,0,0,0,0,n/a,n/a,n/a,.000
Arizona Diamondbacks,"Vargas, IldemaroIldemaro Vargas",3B,1,0,3,0,0,0,0,0,0,n/a,n/a,n/a,.000
