Boston Red Sox,RosterScheduleHittingPitchingFieldingStatmaster
Boston Red Sox,Game,Date | Box,Opponent,Score,Decision,Record
Atlanta Braves,30,04-30-2025,at Colorado Rockies,1-2,L,14-16
Atlanta Braves,31,05-02-2025,vs Los Angeles Dodgers,1-2,L,14-17
Atlanta Braves,32,05-03-2025,vs Los Angeles Dodgers,3-10,L,14-18
Atlanta Braves,33,05-04-2025,vs Los Angeles Dodgers,4-3,W,15-18
Atlanta Braves,34,05-05-2025,vs Cincinnati Reds,4-0,W,16-18
Atlanta Braves,35,05-06-2025,vs Cincinnati Reds,2-1,W,17-18
Atlanta Braves,36,05-07-2025,vs Cincinnati Reds,3-4,L,17-19
Atlanta Braves,37,05-08-2025,vs Cincinnati Reds,5-4,W,18-19
Atlanta Braves,38,05-09-2025,at Pittsburgh Pirates,2-3,L,18-20
Atlanta Braves,39,05-10-2025,at Pittsburgh Pirates,3-2,W,19-20
Atlanta Braves,40,05-11-2025,at Pittsburgh Pirates,3-4,L,19-21
Atlanta Braves,41,05-12-2025,vs Washington Nationals,4-3,W,20-21
Atlanta Braves,42,05-13-2025,vs Washington Nationals,5-2,W,21-21
Atlanta Braves,43,05-14-2025,vs Washington Nationals,4-5,L,21-22
Atlanta Braves,44,05-15-2025,vs Washington Nationals,5-2,W,22-22
Atlanta Braves,45,05-16-2025,at Boston Red Sox,4-2,W,23-22
Atlanta Braves,46,05-17-2025,at Boston Red Sox,6-7,L,23-23
Atlanta Braves,47,05-18-2025,at Boston Red Sox,10-4,W,24-23
Atlanta Braves,48,05-20-2025,at Washington Nationals,3-5,L,24-24
Atlanta Braves,49,05-22-2025,at Washington Nationals,7-8,L,24-25
Atlanta Braves,50,05-23-2025,vs San Diego Padres,1-2,L,24-26
Atlanta Braves,51,05-24-2025,vs San Diego Padres,7-1,W,25-26
Atlanta Braves,52,05-25-2025,vs San Diego Padres,3-5,L,25-27
Atlanta Braves,53,05-27-2025,at Philadelphia Phillies,0-2,L,25-28
Atlanta Braves,54-I,05-29-2025,at Philadelphia Phillies,4-5,L,25-29
Atlanta Braves,55-II,05-29-2025,at Philadelphia Phillies,9-3,W,26-29
Atlanta Braves,56,05-30-2025,vs Boston Red Sox,1-5,L,26-30
Atlanta Braves,57,05-31-2025,vs Boston Red Sox,5-0,W,27-30
Atlanta Braves,58,06-01-2025,vs Boston Red Sox,1-3,L,27-31
Atlanta Braves,59,06-03-2025,vs Arizona Diamondbacks,3-8,L,27-32
Atlanta Braves,60,06-04-2025,vs Arizona Diamondbacks,1-2,L,27-33
Atlanta Braves,61,06-05-2025,vs Arizona Diamondbacks,10-11,L,27-34
Atlanta Braves,62,06-06-2025,at San Francisco Giants,4-5,L,27-35
Atlanta Braves,63,06-07-2025,at San Francisco Giants,2-3,L,27-36
Atlanta Braves,64,06-08-2025,at San Francisco Giants,3-4,L,27-37
Atlanta Braves,65,06-09-2025,at Milwaukee Brewers,7-1,W,28-37
Atlanta Braves,66,06-10-2025,at Milwaukee Brewers,1-4,L,28-38
Atlanta Braves,67,06-11-2025,at Milwaukee Brewers,6-2,W,29-38
Atlanta Braves,68,06-13-2025,vs Colorado Rockies,12-4,W,30-38
Atlanta Braves,69,06-14-2025,vs Colorado Rockies,4-1,W,31-38
Atlanta Braves,70,06-15-2025,vs Colorado Rockies,1-10,L,31-39
Atlanta Braves,71,06-17-2025,vs New York Mets,5-4,W,32-39
Atlanta Braves,72,06-18-2025,vs New York Mets,5-0,W,33-39
Atlanta Braves,73,06-19-2025,vs New York Mets,7-1,W,34-39
Atlanta Braves,74,06-20-2025,at Miami Marlins,2-6,L,34-40
Atlanta Braves,Game,Date | Box,Opponent,Score,Decision,Record
Chicago White Sox,RosterScheduleHittingPitchingFieldingStatmaster
Chicago White Sox,Game,Date | Box,Opponent,Score,Decision,Record
Chicago White Sox,1,03-27-2025,vs Los Angeles Angels,8-1,W,1-0
Chicago White Sox,2,03-29-2025,vs Los Angeles Angels,0-1,L,1-1
Chicago White Sox,3,03-30-2025,vs Los Angeles Angels,2-3,L,1-2
Chicago White Sox,4,03-31-2025,vs Minnesota Twins,9-0,W,2-2
Chicago White Sox,5,04-01-2025,vs Minnesota Twins,3-8,L,2-3
Chicago White Sox,6,04-02-2025,vs Minnesota Twins,1-6,L,2-4
Chicago White Sox,7,04-04-2025,at Detroit Tigers,4-7,L,2-5
Chicago White Sox,8,04-05-2025,at Detroit Tigers,2-7,L,2-6
Chicago White Sox,9,04-06-2025,at Detroit Tigers,3-4,L,2-7
Chicago White Sox,10,04-08-2025,at Cleveland Guardians,0-1,L,2-8
Chicago White Sox,11,04-09-2025,at Cleveland Guardians,2-3,L,2-9
Chicago White Sox,12,04-10-2025,at Cleveland Guardians,1-6,L,2-10
Chicago White Sox,13,04-11-2025,vs Boston Red Sox,11-1,W,3-10
Chicago White Sox,14,04-12-2025,vs Boston Red Sox,3-2,W,4-10
Chicago White Sox,15,04-13-2025,vs Boston Red Sox,1-3,L,4-11
Chicago White Sox,16,04-15-2025,vs Sacramento Athletics,3-12,L,4-12
Chicago White Sox,17,04-16-2025,vs Sacramento Athletics,1-3,L,4-13
Chicago White Sox,18,04-17-2025,vs Sacramento Athletics,0-8,L,4-14
Chicago White Sox,19,04-18-2025,at Boston Red Sox,3-10,L,4-15
Chicago White Sox,20,04-19-2025,at Boston Red Sox,3-4,L,4-16
Chicago White Sox,21,04-20-2025,at Boston Red Sox,8-4,W,5-16
Chicago White Sox,22,04-21-2025,at Boston Red Sox,2-4,L,5-17
Chicago White Sox,23,04-22-2025,at Minnesota Twins,2-4,L,5-18
Chicago White Sox,24,04-23-2025,at Minnesota Twins,3-6,L,5-19
Chicago White Sox,25,04-24-2025,at Minnesota Twins,3-0,W,6-19
Chicago White Sox,26,04-25-2025,at Sacramento Athletics,5-6,L,6-20
Chicago White Sox,27,04-26-2025,at Sacramento Athletics,10-3,W,7-20
Chicago White Sox,28,04-27-2025,at Sacramento Athletics,2-3,L,7-21
Chicago White Sox,29,04-29-2025,vs Milwaukee Brewers,2-7,L,7-22
Chicago White Sox,30,04-30-2025,vs Milwaukee Brewers,4-6,L,7-23
