statistic,player_name,team_name,no,top_25,year,league,stat_title,statistic_id,player_id,year_id,league_id
On Base Percentage,Freddie Freeman,Los Angeles Dodgers,0.407,Top 25,2022,National League,Hitting Statistics,8,31,1,1
RBI,Pete Alonso,New York Mets,131.0,Top 25,2022,National League,Hitting Statistics,9,72,1,1
Runs,Mookie Betts,Los Angeles Dodgers,117.0,Top 25,2022,National League,Hitting Statistics,10,70,1,1
Slugging Average,Paul Goldschmidt,St. Louis Cardinals,0.578,Top 25,2022,National League,Hitting Statistics,13,71,1,1
Stolen Bases,Jon Berti,Miami Marlins,41.0,Top 25,2022,National League,Hitting Statistics,14,41,1,1
Total Bases,Austin Riley,Atlanta Braves,325.0,Top 25,2022,National League,Hitting Statistics,16,6,1,1
Triples,Gavin Lux,Los Angeles Dodgers,7.0,Top 25,2022,National League,Hitting Statistics,17,32,1,1
Base on Balls,Juan Soto,San Diego Padres,132.0,Top 25,2023,National League,Hitting Statistics,0,47,2,1
Batting Average,Luis Arraez,Miami Marlins,0.354,Top 25,2023,National League,Hitting Statistics,1,62,2,1
Doubles,Freddie Freeman,Los Angeles Dodgers,59.0,Top 25,2023,National League,Hitting Statistics,3,31,2,1
Hits,Ronald Acuña Jr.,Atlanta Braves,217.0,Top 25,2023,National League,Hitting Statistics,6,74,2,1
Home Runs,Matt Olson,Atlanta Braves,54.0,Top 25,2023,National League,Hitting Statistics,7,67,2,1
On Base Percentage,Ronald Acuña Jr.,Atlanta Braves,0.416,Top 25,2023,National League,Hitting Statistics,8,74,2,1
RBI,Matt Olson,Atlanta Braves,139.0,Top 25,2023,National League,Hitting Statistics,9,67,2,1
Runs,Ronald Acuña Jr.,Atlanta Braves,149.0,Top 25,2023,National League,Hitting Statistics,10,74,2,1
Slugging Average,Matt Olson,Atlanta Braves,0.604,Top 25,2023,National League,Hitting Statistics,13,67,2,1
Stolen Bases,Ronald Acuña Jr.,Atlanta Braves,73.0,Top 25,2023,National League,Hitting Statistics,14,74,2,1
Total Bases,Ronald Acuña Jr.,Atlanta Braves,383.0,Top 25,2023,National League,Hitting Statistics,16,74,2,1
Triples,Corbin Carroll,Arizona Diamondbacks,10.0,Top 25,2023,National League,Hitting Statistics,17,17,2,1
Base on Balls,Kyle Schwarber,Philadelphia,105.0,Top 25,2024,National League,Hitting Statistics,0,55,3,1
Batting Average,Luis Arraez,Miami,0.314,Top 25,2024,National League,Hitting Statistics,1,61,3,1
Doubles,Ezequiel Tovar,Colorado,45.0,Top 25,2024,National League,Hitting Statistics,3,27,3,1
Hits,Luis Arraez,Miami,200.0,Top 25,2024,National League,Hitting Statistics,6,61,3,1
Home Runs,Shohei Ohtani,Los Angeles,54.0,Top 25,2024,National League,Hitting Statistics,7,80,3,1
On Base Percentage,Shohei Ohtani,Los Angeles,0.39,Top 25,2024,National League,Hitting Statistics,8,80,3,1
RBI,Shohei Ohtani,Los Angeles,130.0,Top 25,2024,National League,Hitting Statistics,9,80,3,1
Runs,Shohei Ohtani,Los Angeles,134.0,Top 25,2024,National League,Hitting Statistics,10,80,3,1
Slugging Average,Shohei Ohtani,Los Angeles,0.646,Top 25,2024,National League,Hitting Statistics,13,80,3,1
Stolen Bases,Elly De La Cruz,Cincinnati,67.0,Top 25,2024,National League,Hitting Statistics,14,23,3,1
Total Bases,Shohei Ohtani,Los Angeles,411.0,Top 25,2024,National League,Hitting Statistics,16,80,3,1
Triples,Corbin Carroll,Arizona,14.0,Top 25,2024,National League,Hitting Statistics,17,16,3,1
Base on Balls,To Be Determined,--,,Top 25,2025,National League,Hitting Statistics,0,85,4,1
Batting Average,To Be Determined,--,,Top 25,2025,National League,Hitting Statistics,1,85,4,1
Doubles,To Be Determined,--,,Top 25,2025,National League,Hitting Statistics,3,85,4,1
Hits,To Be Determined,--,,Top 25,2025,National League,Hitting Statistics,6,85,4,1
Home Runs,To Be Determined,--,,Top 25,2025,National League,Hitting Statistics,7,85,4,1
On Base Percentage,To Be Determined,--,,Top 25,2025,National League,Hitting Statistics,8,85,4,1
RBI,To Be Determined,--,,Top 25,2025,National League,Hitting Statistics,9,85,4,1
Runs,To Be Determined,--,,Top 25,2025,National League,Hitting Statistics,10,85,4,1
Slugging Average,To Be Determined,--,,Top 25,2025,National League,Hitting Statistics,13,85,4,1
